dteday,yr,mnth,hr,holiday,weekday,weathersit,temp,hum,windspeed,cnt,cnt_log1p
2011-01-01,0,1,0,0,6,1,0.24,0.81,0.0,16,2.833213344056216
2011-01-01,0,1,1,0,6,1,0.22,0.8,0.0,40,3.713572066704308
2011-01-01,0,1,2,0,6,1,0.22,0.8,0.0,32,3.4965075614664802
2011-01-01,0,1,3,0,6,1,0.24,0.75,0.0,13,2.6390573296152584
2011-01-01,0,1,4,0,6,1,0.24,0.75,0.0,1,0.6931471805599453
2011-01-01,0,1,5,0,6,2,0.24,0.75,0.0896,1,0.6931471805599453
2011-01-01,0,1,6,0,6,1,0.22,0.8,0.0,2,1.0986122886681098
2011-01-01,0,1,7,0,6,1,0.2,0.86,0.0,3,1.3862943611198906
2011-01-01,0,1,8,0,6,1,0.24,0.75,0.0,8,2.1972245773362196
2011-01-01,0,1,9,0,6,1,0.32,0.76,0.0,14,2.70805020110221
2011-01-01,0,1,10,0,6,1,0.38,0.76,0.2537,36,3.6109179126442243
2011-01-01,0,1,11,0,6,1,0.36,0.81,0.2836,56,4.04305126783455
2011-01-01,0,1,12,0,6,1,0.42,0.77,0.2836,84,4.442651256490317
2011-01-01,0,1,13,0,6,2,0.46,0.72,0.2985,94,4.553876891600541
2011-01-01,0,1,14,0,6,2,0.46,0.72,0.2836,106,4.672828834461906
2011-01-01,0,1,15,0,6,2,0.44,0.77,0.2985,110,4.709530201312334
2011-01-01,0,1,16,0,6,2,0.42,0.82,0.2985,93,4.543294782270004
2011-01-01,0,1,17,0,6,2,0.44,0.82,0.2836,67,4.219507705176107
2011-01-01,0,1,18,0,6,3,0.42,0.88,0.2537,35,3.58351893845611
2011-01-01,0,1,19,0,6,3,0.42,0.88,0.2537,37,3.6375861597263857
2011-01-01,0,1,20,0,6,2,0.4,0.87,0.2537,36,3.6109179126442243
2011-01-01,0,1,21,0,6,2,0.4,0.87,0.194,34,3.5553480614894135
2011-01-01,0,1,22,0,6,2,0.4,0.94,0.2239,28,3.367295829986474
2011-01-01,0,1,23,0,6,2,0.46,0.88,0.2985,39,3.6888794541139363
2011-01-02,0,1,0,0,0,2,0.46,0.88,0.2985,17,2.8903717578961645
2011-01-02,0,1,1,0,0,2,0.44,0.94,0.2537,17,2.8903717578961645
2011-01-02,0,1,2,0,0,2,0.42,1.0,0.2836,9,2.302585092994046
2011-01-02,0,1,3,0,0,2,0.46,0.94,0.194,6,1.9459101490553132
2011-01-02,0,1,4,0,0,2,0.46,0.94,0.194,3,1.3862943611198906
2011-01-02,0,1,6,0,0,3,0.42,0.77,0.2985,2,1.0986122886681098
2011-01-02,0,1,7,0,0,2,0.4,0.76,0.194,1,0.6931471805599453
2011-01-02,0,1,8,0,0,3,0.4,0.71,0.2239,8,2.1972245773362196
2011-01-02,0,1,9,0,0,2,0.38,0.76,0.2239,20,3.044522437723423
2011-01-02,0,1,10,0,0,2,0.36,0.81,0.2239,53,3.9889840465642745
2011-01-02,0,1,11,0,0,2,0.36,0.71,0.2537,70,4.2626798770413155
2011-01-02,0,1,12,0,0,2,0.36,0.66,0.2985,93,4.543294782270004
2011-01-02,0,1,13,0,0,2,0.36,0.66,0.1343,75,4.330733340286331
2011-01-02,0,1,14,0,0,3,0.36,0.76,0.194,59,4.0943445622221
2011-01-02,0,1,15,0,0,3,0.34,0.81,0.1642,74,4.31748811353631
2011-01-02,0,1,16,0,0,3,0.34,0.71,0.1642,76,4.343805421853684
2011-01-02,0,1,17,0,0,1,0.34,0.57,0.194,65,4.189654742026425
2011-01-02,0,1,18,0,0,2,0.36,0.46,0.3284,53,3.9889840465642745
2011-01-02,0,1,19,0,0,1,0.32,0.42,0.4478,30,3.4339872044851463
2011-01-02,0,1,20,0,0,1,0.3,0.39,0.3582,22,3.1354942159291497
2011-01-02,0,1,21,0,0,1,0.26,0.44,0.3284,31,3.4657359027997265
2011-01-02,0,1,22,0,0,1,0.24,0.44,0.2985,9,2.302585092994046
2011-01-02,0,1,23,0,0,1,0.22,0.47,0.1642,8,2.1972245773362196
2011-01-04,0,1,0,0,2,1,0.16,0.55,0.1045,5,1.791759469228055
2011-01-04,0,1,1,0,2,1,0.16,0.59,0.1045,2,1.0986122886681098
2011-01-04,0,1,2,0,2,1,0.14,0.63,0.1343,1,0.6931471805599453
2011-01-04,0,1,4,0,2,1,0.14,0.63,0.0896,2,1.0986122886681098
2011-01-04,0,1,5,0,2,1,0.12,0.68,0.1045,4,1.6094379124341003
2011-01-04,0,1,6,0,2,1,0.12,0.74,0.1045,36,3.6109179126442243
2011-01-04,0,1,7,0,2,1,0.12,0.74,0.1343,94,4.553876891600541
2011-01-04,0,1,8,0,2,1,0.14,0.69,0.1642,179,5.19295685089021
2011-01-04,0,1,9,0,2,1,0.16,0.64,0.2239,100,4.61512051684126
2011-01-04,0,1,10,0,2,2,0.16,0.69,0.3284,42,3.7612001156935624
2011-01-04,0,1,11,0,2,1,0.22,0.51,0.2985,57,4.060443010546419
2011-01-04,0,1,12,0,2,1,0.22,0.51,0.1642,78,4.3694478524670215
2011-01-04,0,1,13,0,2,1,0.24,0.56,0.194,97,4.584967478670572
2011-01-04,0,1,14,0,2,1,0.26,0.52,0.2239,63,4.1588830833596715
2011-01-04,0,1,15,0,2,1,0.28,0.52,0.2537,65,4.189654742026425
2011-01-04,0,1,16,0,2,1,0.3,0.49,0.2537,83,4.430816798843313
2011-01-04,0,1,17,0,2,1,0.28,0.48,0.2239,212,5.3612921657094255
2011-01-04,0,1,18,0,2,1,0.26,0.48,0.194,182,5.209486152841421
2011-01-04,0,1,19,0,2,1,0.24,0.48,0.1045,112,4.727387818712341
2011-01-04,0,1,20,0,2,1,0.24,0.48,0.1045,54,4.007333185232471
2011-01-04,0,1,21,0,2,1,0.22,0.64,0.0,48,3.8918202981106265
2011-01-04,0,1,22,0,2,1,0.22,0.64,0.0896,35,3.58351893845611
2011-01-04,0,1,23,0,2,1,0.2,0.69,0.0896,11,2.4849066497880004
2011-01-05,0,1,0,0,3,1,0.2,0.64,0.0,6,1.9459101490553132
2011-01-05,0,1,1,0,3,1,0.16,0.74,0.0896,6,1.9459101490553132
2011-01-05,0,1,2,0,3,1,0.16,0.74,0.0896,2,1.0986122886681098
2011-01-05,0,1,4,0,3,1,0.24,0.48,0.2239,2,1.0986122886681098
2011-01-05,0,1,5,0,3,1,0.22,0.47,0.1642,3,1.3862943611198906
2011-01-05,0,1,6,0,3,1,0.2,0.47,0.2239,33,3.5263605246161616
2011-01-05,0,1,7,0,3,1,0.18,0.43,0.194,88,4.48863636973214
2011-01-05,0,1,8,0,3,1,0.2,0.4,0.2985,195,5.278114659230517
2011-01-05,0,1,9,0,3,1,0.22,0.37,0.3284,115,4.7535901911063645
2011-01-05,0,1,10,0,3,1,0.22,0.37,0.3284,57,4.060443010546419
2011-01-05,0,1,11,0,3,1,0.26,0.33,0.3284,46,3.8501476017100584
2011-01-05,0,1,12,0,3,1,0.26,0.33,0.3284,79,4.382026634673881
2011-01-05,0,1,13,0,3,1,0.28,0.3,0.2985,71,4.276666119016055
2011-01-05,0,1,14,0,3,1,0.3,0.28,0.194,62,4.143134726391533
2011-01-05,0,1,15,0,3,1,0.3,0.28,0.194,62,4.143134726391533
2011-01-05,0,1,16,0,3,1,0.3,0.28,0.0896,89,4.499809670330265
2011-01-05,0,1,17,0,3,1,0.24,0.38,0.194,190,5.25227342804663
2011-01-05,0,1,18,0,3,1,0.24,0.38,0.1343,169,5.135798437050262
2011-01-05,0,1,19,0,3,1,0.24,0.38,0.1045,132,4.890349128221754
2011-01-05,0,1,20,0,3,1,0.22,0.47,0.1642,89,4.499809670330265
2011-01-05,0,1,21,0,3,1,0.2,0.51,0.194,43,3.784189633918261
2011-01-05,0,1,22,0,3,1,0.18,0.55,0.1343,42,3.7612001156935624
2011-01-05,0,1,23,0,3,1,0.2,0.47,0.0,19,2.995732273553991
2011-01-06,0,1,0,0,4,1,0.18,0.55,0.0,11,2.4849066497880004
2011-01-06,0,1,1,0,4,1,0.16,0.64,0.0,4,1.6094379124341003
2011-01-06,0,1,2,0,4,1,0.16,0.64,0.0,2,1.0986122886681098
2011-01-06,0,1,4,0,4,2,0.16,0.64,0.0896,1,0.6931471805599453
2011-01-06,0,1,5,0,4,2,0.14,0.69,0.0896,4,1.6094379124341003
2011-01-06,0,1,6,0,4,2,0.14,0.63,0.1045,36,3.6109179126442243
2011-01-06,0,1,7,0,4,2,0.16,0.59,0.0,95,4.564348191467836
2011-01-06,0,1,8,0,4,1,0.16,0.59,0.0,219,5.393627546352362
2011-01-06,0,1,9,0,4,2,0.18,0.51,0.0,122,4.812184355372417
2011-01-06,0,1,10,0,4,1,0.2,0.47,0.0,45,3.828641396489095
2011-01-06,0,1,11,0,4,1,0.22,0.44,0.0896,59,4.0943445622221
2011-01-06,0,1,12,0,4,1,0.26,0.35,0.0,84,4.442651256490317
2011-01-06,0,1,13,0,4,1,0.26,0.35,0.1045,67,4.219507705176107
2011-01-06,0,1,14,0,4,1,0.28,0.36,0.1642,70,4.2626798770413155
2011-01-06,0,1,15,0,4,1,0.28,0.36,0.0,62,4.143134726391533
2011-01-06,0,1,16,0,4,1,0.26,0.38,0.1642,86,4.465908118654584
2011-01-06,0,1,17,0,4,1,0.22,0.51,0.1642,172,5.153291594497779
2011-01-06,0,1,18,0,4,1,0.22,0.51,0.1343,163,5.099866427824199
2011-01-06,0,1,19,0,4,1,0.22,0.55,0.0896,112,4.727387818712341
2011-01-06,0,1,20,0,4,1,0.2,0.51,0.1642,69,4.248495242049359
2011-01-06,0,1,21,0,4,2,0.22,0.55,0.2239,48,3.8918202981106265
2011-01-06,0,1,22,0,4,2,0.22,0.51,0.2836,52,3.970291913552122
2011-01-06,0,1,23,0,4,2,0.2,0.59,0.194,23,3.1780538303479458
2011-01-08,0,1,0,0,6,2,0.18,0.51,0.1642,25,3.258096538021482
2011-01-08,0,1,1,0,6,2,0.18,0.55,0.0896,16,2.833213344056216
